Rej.,LipidIon,LipidGroup,Class,FattyAcid,FA1,FA2,FA3,CalcMz,IonFormula,ARatio[s1/c],Baseline_2,DMSO_1hr_1,DMSO_1hr_2,DGAT1i_1hr_1,DGAT1i_1hr_2,DGAT2i_1hr_1,DGAT1i_1hr_2,DMSO_2hr_1,DMSO_2hr_2,DGAT1i_2hr_1,DGAT1i_2hr_2,DGAT2i_2hr_1,DGAT1i_2hr_2,Rt[c-1],Rt[c-2],Rt[s1-1],Rt[s1-2],Rt[s2-1],Rt[s2-2],Rt[s3-1],Rt[s3-2],Rt[s4-1],Rt[s4-2],Rt[s5-1],Rt[s5-2],Rt[s6-1],Rt[s6-2]
0,Cer(d18:0/16:0)+H,Cer(d18:0/16:0),Cer,(d18:0/16:0),(d18:0),(16:0),,540.5350205,C34 H70 O3 N1,8264160.08,5542755.173,17716586.16,24395373.87,55469051.43,60519160.34,116678938.7,239814721.5,5457192.058,10365672.18,22813209.38,19462626.12,205962209.6,172210669.1,20.689,20.606,20.673,20.678,20.659,20.676,20.79,20.792,20.801,20.807,20.794,20.789,20.788,20.765
0,Cer(d18:1/16:0)+H,Cer(d18:1/16:0),Cer,(d18:1/16:0),(d18:1),(16:0),,538.5193705,C34 H68 O3 N1,21030313.29,20480413.23,17289188.14,22452963.02,30320172.16,25714520.91,25600133.15,1537650.525,17364813.79,21597732.71,27342261.97,25049993.62,42108175.81,28163228.03,19.744,19.637,19.77,19.732,19.733,19.699,19.9,19.666,19.855,19.867,19.884,19.894,19.927,19.834
0,Cer(d34:1)+H,Cer(d34:1),Cer,(d34:1),(d34:1),,,538.5193705,C34 H68 O3 N1,331221899.3,340208505.3,271305141.3,318043035.3,309678207.4,236280380.6,197620559.8,139115494.2,182336756.2,428159262,473329334.9,232968590.3,341576900.5,506427932.4,21.867,21.731,21.858,21.869,21.838,21.861,21.954,22.019,21.986,21.969,22.039,21.983,21.964,21.96
0,Cer(d18:1/17:0)+H,Cer(d18:1/17:0),Cer,(d18:1/17:0),(d18:1),(17:0),,552.5350205,C35 H70 O3 N1,50941206.29,52879534.38,60892697.71,44683196.51,45873000.22,60665639.29,64828940.03,42922085.39,37076660.94,45676017.47,65390912.49,42454806.72,45737719.42,35437930.65,20.98,20.838,20.945,20.959,20.951,20.986,21.067,21.091,21.059,21.077,21.045,21.086,21.071,21.076
0,Cer(d36:1)+H,Cer(d36:1),Cer,(d36:1),(d36:1),,,566.5506705,C36 H72 O3 N1,772860567.3,842166106.8,632856081.7,729914534.7,736718423,588438328.2,429163341.2,340701998.4,410217467.7,943155401.6,1076860440,532948109.1,764077542.1,1143607257,23.874,23.751,23.898,23.941,23.908,23.945,24.015,24.086,24.036,24.026,24.037,24.038,24.005,24.065
0,Cer(d36:4)+H,Cer(d36:4),Cer,(d36:4),(d36:4),,,560.5037205,C36 H66 O3 N1,161734510.8,171976102.9,162833472.8,190065461,178921901,148779227.3,117496931.8,68232025.39,115831193.2,241892022.9,247938356.3,139965437.4,193417267.4,292757915.1,21.864,21.72,21.84,21.859,21.841,21.855,21.967,22.01,21.987,21.955,21.996,22.001,21.95,21.964
0,Cer(d38:1)+H,Cer(d38:1),Cer,(d38:1),(d38:1),,,594.5819705,C38 H76 O3 N1,511937290.8,506476051.7,452361392.8,479653605.5,473285736.4,367619790.3,292439153.9,224457792.3,279481343.8,655382843.6,762498311.7,363962300.9,532641224.8,837628070,25.788,25.615,25.746,25.812,25.781,25.808,25.903,25.956,25.93,25.9,25.882,25.858,25.916,25.921
0,Cer(d20:2/18:0+O)+NH4,Cer(d20:2/18:0,Cer,(d20:2/18:0+O),(d20:2),(18:0+O),,625.5877845,C38 H77 O4 N2,159763624.6,133680050.1,102379066.4,135363260.1,89605099.45,113615623.1,85420396.47,154395871.4,119898722.1,143708453.7,110446401.1,204413486.3,83903990.56,89284460.13,0.738,0.74,0.738,0.743,0.714,0.711,0.709,0.741,0.715,0.712,0.713,0.712,0.712,0.713
0,Cer(d20:2/18:1)+NH4,Cer(d20:2/18:1),Cer,(d20:2/18:1),(d20:2),(18:1),,607.5772195,C38 H75 O3 N2,25967380.32,75974870.78,116483810.1,137102467.3,109283583.5,75024963.9,99504408.85,130923115.4,94122991.56,29642991.32,123351556.9,29892926.43,132030541.1,138801822.6,8.541,8.34,8.404,8.41,8.71,8.715,8.599,8.632,8.428,8.802,8.498,8.605,8.666,8.651
0,Cer(d20:2/18:1)+NH4,Cer(d20:2/18:1),Cer,(d20:2/18:1),(d20:2),(18:1),,607.5772195,C38 H75 O3 N2,129342111.4,5113050.275,107903592.6,124779215.1,132772839.5,126348082.5,118580059.3,4026613.408,116674756.2,116886889.3,116543692.4,115158473.1,116448618,129405734,8.529,10.603,8.404,8.409,10.763,8.71,8.623,10.858,8.441,8.597,8.485,8.624,10.823,8.653
0,Cer(d20:2/18:1)+NH4,Cer(d20:2/18:1),Cer,(d20:2/18:1),(d20:2),(18:1),,607.5772195,C38 H75 O3 N2,152982571.7,133180425.8,179423113.5,227857953.3,123930217.1,227157729.5,157580360.3,220381406.8,98043485.97,183993802.9,191778853.5,218405717.5,146114035.5,168229610.3,15.24,15.009,15.127,17.006,15.311,15.211,15.272,15.108,15.235,15.1,15.393,17.325,15.177,15.205
0,Cer(d38:4)+H,Cer(d38:4),Cer,(d38:4),(d38:4),,,588.5350205,C38 H70 O3 N1,512981019,552165274.9,438844355,504101912.1,499201882.2,405414513.2,305841973.6,238664483.9,308454893.8,662701246.8,726386274.1,389114227.4,548328123.1,790246383.5,23.913,23.757,23.924,23.928,23.919,23.921,24.017,24.087,24.031,24.032,24.038,24.039,24.015,24.061
0,Cer(d18:0/22:0)+H,Cer(d18:0/22:0),Cer,(d18:0/22:0),(d18:0),(22:0),,624.6289205,C40 H82 O3 N1,2845041.152,469011.873,7771626.048,8848290.377,17545483.62,14180449.76,40413810.35,67461503.29,1347328.722,2588890.723,8761353.247,6571636.726,50883434.85,42894249.15,26.564,26.75,26.54,26.577,26.564,26.526,26.677,26.746,26.67,26.608,26.757,26.646,26.675,26.662
0,Cer(d40:1)+H,Cer(d40:1),Cer,(d40:1),(d40:1),,,622.6132705,C40 H80 O3 N1,12759347.13,14886259.93,13050880.04,13559420.46,225163.542,8717704.668,7400576.368,5450383.211,6370808.74,17337522.74,18710716.41,7932086.315,11758790.04,20868174.92,27.367,27.204,27.404,27.384,27.078,27.384,27.556,27.506,27.459,27.45,27.511,27.53,27.476,27.503
0,Cer(d40:4)+H,Cer(d40:4),Cer,(d40:4),(d40:4),,,616.5663205,C40 H74 O3 N1,337570168.3,331009937.6,246021965.9,321657022.8,262471609,197072154.5,183885106.6,118230823.1,181907577.8,407355846.3,466268759.7,230629636.8,324843646,501805941.8,25.785,25.594,25.763,25.806,25.777,25.779,25.901,25.928,25.928,25.899,25.878,25.903,25.907,25.865
0,Cer(d18:0/24:0)+H,Cer(d18:0/24:0),Cer,(d18:0/24:0),(d18:0),(24:0),,652.6602205,C42 H86 O3 N1,11090467.27,20193717.03,42624949.58,45364906.9,82771319.32,91706222.37,271196276.2,434628707.7,16143066.85,17155506.81,43710108.37,36800063.64,358343117.5,313299115,27.995,27.945,27.978,27.979,27.982,27.972,28.095,28.124,28.064,28.11,28.114,28.11,28.119,28.105
0,Cer(d18:0/24:1)+H,Cer(d18:0/24:1),Cer,(d18:0/24:1),(d18:0),(24:1),,650.6445705,C42 H84 O3 N1,11043273.22,31702132.17,28845672.88,15480832.11,34116759.09,42757382.11,101508526.1,173215739.3,5712473.481,8541579.199,29718135.02,19380457.71,149656389,114695436.6,25.963,26.812,26.069,26.137,26.053,26.09,26.213,26.212,26.022,26.116,26.196,26.184,26.196,26.216
0,Cer(d18:1/24:0)+H,Cer(d18:1/24:0),Cer,(d18:1/24:0),(d18:1),(24:0),,650.6445705,C42 H84 O3 N1,209379691.8,209128209.3,160553010.7,166126450.5,193410827.9,178661037.8,126655256.8,214126414.6,119276024.8,157663699.2,213528589.2,176628158.6,188037947.8,148942108.9,27.416,27.221,27.364,27.384,27.375,27.388,27.517,27.538,27.51,27.515,27.506,27.523,27.529,27.516
0,Cer(d18:1/24:3)+H,Cer(d18:1/24:3),Cer,(d18:1/24:3),(d18:1),(24:3),,644.5976205,C42 H78 O3 N1,55789046.97,61151669.63,41704301.31,62058330.62,78149149.63,75320902.2,63900229.61,91406431.87,34520562.12,51717595.66,66942211.61,43964924.84,71697963.08,48560046.55,25.855,25.654,25.874,25.864,25.876,25.852,25.983,26,25.995,26.026,25.964,26.007,25.975,26.012
0,Cer(d18:0/26:0)+H,Cer(d18:0/26:0),Cer,(d18:0/26:0),(d18:0),(26:0),,680.6915205,C44 H90 O3 N1,1825308.101,5665488.149,7302536.314,6461402.85,12339599.63,13512593.88,38850524.94,67003067.54,747135.923,3032083.315,9002768.748,5590406.494,62424142.43,44624019.8,29.323,29.285,29.25,29.236,29.245,29.259,29.33,29.411,29.396,29.491,29.475,29.471,29.354,29.361
0,Cer(d18:0/26:1)+H,Cer(d18:0/26:1),Cer,(d18:0/26:1),(d18:0),(26:1),,678.6758705,C44 H88 O3 N1,893418.282,272304.535,3285600.884,2408100.444,5111867.811,6682774.025,25678331.16,29736532.97,135645.742,1279473.863,2831920.643,2071807.89,27397835.16,18410882.25,27.461,27.447,27.502,27.514,27.509,27.552,27.634,27.647,27.684,27.562,27.66,27.615,27.648,27.658
0,Cer(d18:1/26:0)+H,Cer(d18:1/26:0),Cer,(d18:1/26:0),(d18:1),(26:0),,678.6758705,C44 H88 O3 N1,20779822.53,27075989.92,23317157.03,18885343.54,21538678.85,16697317.45,19877545.62,34240146.79,9291659.657,16142980.14,21907454.02,18623830.55,32892492.59,22045523.26,28.745,28.567,28.762,28.737,28.673,28.723,28.823,28.845,28.844,28.834,28.825,28.814,28.872,28.837
0,Cer(d18:1/26:1)+H,Cer(d18:1/26:1),Cer,(d18:1/26:1),(d18:1),(26:1),,676.6602205,C44 H86 O3 N1,9984856.156,8193680.281,12816994.44,6694692.746,10194066.23,9349968.541,9026971.037,16153121.34,8430925.835,9665029.401,10487545.34,10344039.4,17385802.17,15357493.64,26.946,27.256,26.912,26.924,26.947,26.906,27.039,27.112,27.114,27.07,27.087,27.087,27.06,27.083
0,CerG1(d18:1/12:0)+H,CerG1(d18:1/12:0),CerG1,(d18:1/12:0),(d18:1),(12:0),,644.5095955,C36 H70 O8 N1,21156577.31,16779394.52,12397688.08,20978674.1,16664144.99,15631684.74,18297904.6,17696516.4,12001462.59,16520573.72,17011596.57,8651197.748,18149953.27,17906180.1,12.377,12.261,12.363,12.356,12.37,12.373,12.484,12.499,12.45,12.472,12.441,12.425,12.435,12.462
0,CerG1(d30:1)+Na,CerG1(d30:1),CerG1,(d18:1/12:0),(d18:1),(12:0),,666.4915405,C36 H69 O8 N1 Na1,97684360.61,102366507.3,82536131.31,107629754,104043858.5,96260231.06,130051890,140544962.1,65094400.54,131451564.9,84329247.08,73432072.11,80631826.94,70077509.42,12.38,12.279,12.36,12.364,12.376,12.364,12.458,12.469,12.499,12.448,12.465,12.485,12.463,12.481
0,CerG1(d32:4)+H,CerG1(d32:4),CerG1,(d32:4),(d32:4),,,666.4939455,C38 H68 O8 N1,151051997.3,142480563.1,116313071.6,148382877.7,147777071.8,134169579.1,107035003.4,78460304.19,89494961.13,111466842.7,107021389.4,101942583.9,106612661.5,100289638.7,12.346,12.254,12.383,12.356,12.367,12.357,12.454,12.482,12.456,12.44,12.471,12.427,12.447,12.481
0,CerG1(d18:1/16:0)+H,CerG1(d18:1/16:0),CerG1,(d18:1/16:0),(d18:1),(16:0),,700.5721955,C40 H78 O8 N1,33446502.48,25605855.75,23346119.18,23519368.33,22422312.51,21389740.93,20423257.84,39609335.12,1800718.508,23794731.13,26114506.22,21766549.83,22691206.77,17946523.74,17.835,17.755,17.8,17.847,17.817,17.854,18.016,18,17.698,18,17.982,17.969,18.011,17.949
0,CerG1(d18:1/22:0)+H,CerG1(d18:1/22:0),CerG1,(d18:1/22:0),(d18:1),(22:0),,784.6660955,C46 H90 O8 N1,20360272.62,13165224.63,13888685.63,10267977.92,11782659.14,11455727.8,7914250.825,17122417.18,8815002.624,11969100.6,11385922.93,8178642.225,11150498.34,7373537.21,24.34,24.178,24.405,24.352,24.392,24.395,24.481,24.512,24.495,24.499,24.53,24.486,24.495,24.496
0,CerG1(d18:1/24:0)+H,CerG1(d18:1/24:0),CerG1,(d18:1/24:0),(d18:1),(24:0),,812.6973955,C48 H94 O8 N1,128605403.8,156519418.7,86079585.64,113917941.2,123768926.2,80040127.5,102123113.9,117538420.9,67845826.76,136474908.1,144327684.1,76783414.95,122401376,116608935.3,25.973,25.819,25.99,25.983,25.981,26.003,26.117,26.132,26.118,26.113,26.134,26.11,26.082,26.069
0,CerG1(d42:1)+Na,CerG1(d42:1),CerG1,(d18:1/24:0),(d18:1),(24:0),,834.6793405,C48 H93 O8 N1 Na1,605686320.2,516329821.2,436779308.3,460313129.3,444849837.2,430886394,418124192.2,577493370.5,361575508.7,469205390.2,462968394.9,396197939.1,399873057.8,361512807.1,25.995,25.84,25.977,26.022,25.934,25.991,26.089,26.137,26.103,26.117,26.082,26.098,26.079,26.108
